,CTU-13,,CICIDS2017,,NIDS Auto,,NIDS Human,,
,RF,Boruta,RF,Boruta,RF,Boruta,RF,Boruta,
Src Port,0.0187,x,0.02925,,0.00344,x,0.00809,,
Dst Port,0.03436,x,0.05697,x,0.05814,x,0.00271,,
Protocol,0.00082,x,0.0164,,0.00001,,0.00419,,
Timestamp,0.32922,x,0.07393,x,0.15306,x,0.02646,,
Flow Duration,0.01564,,0.00183,,0.0114,x,0.02523,,
Total Fwd Packet,0.00529,x,0.00402,x,0.00801,x,0.00233,,
Total Bwd packets,0.00472,,0.0018,x,0.00048,,0.00303,,
Total Length of Fwd Packet,0.00157,x,0.01671,x,0.04909,x,0.10669,,
Total Length of Bwd Packet,0.00178,x,0.00914,x,0.00044,,0.00235,,
Fwd Packet Length Max,0.00573,x,0.00269,,0.03238,x,0.00401,,
Fwd Packet Length Min,0.00079,x,0.00076,,0.02321,x,0.00347,,
Fwd Packet Length Mean,0.00158,x,0.0232,,0.00125,x,0.09862,,
Fwd Packet Length Std,0.00086,,0.00155,,0.00896,x,0.00112,,
Bwd Packet Length Max,0.0008,,0.01416,x,0.01614,x,0.00196,,
Bwd Packet Length Min,0.00033,x,0.02625,,0.00818,,0.00107,,
Bwd Packet Length Mean,0.00394,x,0.08841,x,0.0051,x,0.0052,,
Bwd Packet Length Std,0.00044,x,0.01207,x,0.00024,x,0.0053,,
Flow Bytes/s,0.00682,x,0.00272,,0.00076,x,0.00225,,
Flow Packets/s,0.00383,,0.00213,,0.01691,,0.00244,,
Flow IAT Mean,0.00991,x,0.01294,,0.00177,,0.00124,,
Flow IAT Std,0.01147,,0.00261,,0.01333,x,0.00287,,
Flow IAT Max,0.00713,,0.0033,,0.02396,,0.01183,,
Flow IAT Min,0.00731,x,0.00643,,0.00343,,0.0005,,
Fwd IAT Total,0.00904,,0.00239,,0.00047,,0.00269,,
Fwd IAT Mean,0.03296,,0.00842,,0.00015,x,0.01298,,
Fwd IAT Std,0.00353,x,0.03824,,0.00015,,0.00222,,
Fwd IAT Max,0.01188,,0.00953,,0.00051,,0.00046,,
Fwd IAT Min,0.01024,x,0.00854,x,0.00204,,0.00211,,
Bwd IAT Total,0.00478,,0.00173,,0.0015,,0.00013,,
Bwd IAT Mean,0.00232,x,0.0013,x,0.0077,x,0.02782,,
Bwd IAT Std,0.00186,x,0.00174,x,0.00453,x,0.03866,,
Bwd IAT Max,0.00323,,0.00363,,0.00003,,0.0004,,
Bwd IAT Min,0.00187,,0.00068,x,0.00606,,0.00045,,
Fwd PSH Flags,0.00004,,0.00143,,0,x,0.00008,,
Bwd PSH Flags,0,,0,,0,,0,,
Fwd URG Flags,0,,0,,0,,0,,
Bwd URG Flags,0,,0,,0,,0,,
Fwd Header Length,0.04133,x,0.02192,x,0.00831,x,0.02428,,
Bwd Header Length,0.00899,x,0.01627,x,0.01644,x,0.00123,,
Fwd Packets/s,0.00487,x,0.00288,,0.00069,x,0.0033,,
Bwd Packets/s,0.00336,x,0.01145,x,0.00053,,0.00136,,
Packet Length Min,0.00104,x,0.00172,,0.00013,x,0.00422,,
Packet Length Max,0.00735,,0.04352,x,0.0528,x,0.00319,,
Packet Length Mean,0.00085,,0.02144,x,0.00238,x,0.00263,,
Packet Length Std,0.00619,,0.0148,,0.03247,x,0.02935,,
Packet Length Variance,0.00553,,0.0105,,0.02247,x,0.0042,,
FIN Flag Count,0.00174,x,0.00125,,0.00425,,0.00242,,
SYN Flag Count,0.00602,x,0.00042,,0.01898,x,0.04818,,
RST Flag Count,0.0015,,0,,0.00068,x,0.01186,,
PSH Flag Count,0.00184,,0.00279,x,0,x,0.00145,,
ACK Flag Count,0.00684,x,0.00285,,0.00833,x,0.0007,,
URG Flag Count,0,,0.00938,,0,,0,,
CWE Flag Count,0,,0,,0.00033,,0.00012,,
ECE Flag Count,0,,0,,0.00017,,0.00094,,
Down/Up Ratio,0.00215,x,0.00739,,0.00559,,0.00078,,
Average Packet Size,0.00426,,0.08744,x,0.02772,x,0.09586,,
Fwd Segment Size Avg,0.00344,x,0.04174,,0.02114,x,0.10474,,
Bwd Segment Size Avg,0.00513,x,0.07268,x,0.00098,x,0.00329,,
Fwd Bytes/Bulk Avg,0,,0,,0,,0,,
Fwd Packet/Bulk Avg,0,,0,,0,,0,,
Fwd Bulk Rate Avg,0,,0,,0,,0,,
Bwd Bytes/Bulk Avg,0,,0,,0,,0,,
Bwd Packet/Bulk Avg,0.00355,,0,,0.00013,x,0.00027,,
Bwd Bulk Rate Avg,0.00034,x,0,,0.01019,x,0.00207,,
Subflow Fwd Packets,0.00022,,0.00329,x,0,,0.00002,,
Subflow Fwd Bytes,0.00164,x,0.02293,,0.00641,x,0.01459,,
Subflow Bwd Packets,0,,0.01634,x,0,,0,,
Subflow Bwd Bytes,0.00264,x,0.04422,x,0.00839,x,0.01017,,
FWD Init Win Bytes,0.02668,x,0.00727,x,0.04705,x,0.02594,,
Bwd Init Win Bytes,0.00305,,0.0213,x,0.04736,x,0.00647,,
Fwd Act Data Pkts,0.00202,x,0.0081,x,0.00669,x,0.00233,,
Fwd Seg Size Min,0.00699,x,0.00912,x,0.04107,x,0.01471,,
Active Mean,0,,0.00051,,0,,0,,
Active Std,0,,0.00036,x,0,,0,,
Active Max,0,,0.00309,,0,,0,,
Active Min,0,,0.00025,,0,,0,,
Idle Mean,0.11999,,0.00084,,0.05847,x,0.03493,,
Idle Std,0.00056,x,0.00015,,0,,0.00289,,
Idle Max,0.13085,x,0.00227,,0.02355,x,0.06842,,
Idle Min,0.03429,x,0.00266,,0.06347,x,0.06216,,
